Date,adj_close,close,low,high,open,volume,SMA30,CMA30,EMA30,adx,bb_low,bb_ma,bb_high,macd,macdsignal,macdhist,rsi,stdev,slowk,slowd,dollar_close,sp500_close
2017-12-12,0.1338910013437271,0.1338910013437271,0.1142219975590705,0.1380079984664917,0.12117700278759,60056800.0,0.1208121334513028,0.06966808827265215,0.10916980717825073,62.460367712538826,0.09680727711319227,0.12081213345130279,0.14481698978941332,0.02688194432115608,0.02963675662143301,-0.0027548123002769306,67.29737853956306,0.01200242816905526,57.47309224320039,47.06489532991055,94.08000183105469,2664.110107421875
2017-12-13,0.1342809945344925,0.1342809945344925,0.12236800044775,0.1418540030717849,0.1337389945983886,61575000.0,0.12178126623233156,0.07151417130870473,0.11230870559778094,61.30644498365321,0.0968704639172887,0.12178126623233153,0.14669206854737438,0.02672965797996102,0.029055336893138613,-0.0023256789131775937,67.39731648061019,0.012455401157521417,75.35655929467791,59.419245975656615,93.41899871826172,2662.85009765625
2017-12-14,0.2407529950141906,0.2407529950141906,0.1318430006504058,0.2407529950141906,0.1336670070886612,309307008.0,0.1318502659598986,0.07621524974496824,0.12836424177483216,61.95512543427424,0.07089672499104918,0.13185026595989857,0.19280380692874796,0.03479922674828882,0.030204114864168654,0.004595111884120168,82.78543450764526,0.030476770484424695,89.92745622032352,74.25236925273397,93.47899627685547,2652.010009765625
2017-12-15,0.213467001914978,0.213467001914978,0.1870319992303848,0.2332089990377426,0.2332089990377426,207311008.0,0.13808919936418532,0.0799247565603739,0.13900208679235038,62.56056052152053,0.06530327601665063,0.13808919936418526,0.21087512271171988,0.038548305658599485,0.03187295302305482,0.006675352635544668,73.287490873666,0.036392961673767314,87.06507826642098,84.1163645938075,93.92900085449219,2675.81005859375
2017-12-16,0.4046649932861328,0.4046649932861328,0.2042330056428909,0.4471920132637024,0.2128749936819076,581052032.0,0.15631006509065626,0.08847055226368335,0.1722099501040732,64.16761101384999,0.004957073865595241,0.15631006509065623,0.3076630563157172,0.05629858268450652,0.03675807895534516,0.019540503729161364,85.64889463838124,0.0756764956125305,88.85825273805303,88.61692907493254,93.92900085449219,2675.81005859375
2017-12-17,0.5130109786987305,0.5130109786987305,0.378013014793396,0.5924170017242432,0.3867749869823456,628142976.0,0.1816873972614606,0.09935620422355636,0.21481007867840535,65.91803293247206,-0.05092406693580426,0.18168739726146058,0.4142988614587254,0.07820690018575763,0.04504784320142765,0.03315905698432998,88.79660904524107,0.11630573209863242,83.22720698113032,86.38351266186815,93.92900085449219,2675.81005859375
2017-12-18,0.5181980133056641,0.5181980133056641,0.4674029946327209,0.5264959931373596,0.5119389891624451,253463008.0,0.20744679818550743,0.10982724945060904,0.25273357050681267,67.55176005651933,-0.07713640083585119,0.2074467981855074,0.492029997206866,0.09489407021736779,0.055017088604615676,0.03987698161275211,88.9212526987653,0.1422915995106793,84.74012706772147,85.60852892896831,93.5199966430664,2690.159912109375
2017-12-19,0.5312730073928833,0.5312730073928833,0.5010830163955688,0.58958899974823,0.5202680230140686,279631008.0,0.233806999027729,0.1201064142784694,0.2875510001175715,69.1552423326015,-0.08992983299232268,0.23380699902772897,0.5575438310477806,0.10792966939761128,0.0655996047632148,0.04233006463439648,89.24442916137626,0.16186841601002583,83.96982125117752,83.97905176667648,93.0270004272461,2681.469970703125
2017-12-20,0.4861510097980499,0.4861510097980499,0.4416210055351257,0.5337049961090088,0.5337049961090088,182924000.0,0.25771786620219544,0.12882176179084034,0.3123760013276313,69.2382589806099,-0.08358105992935683,0.25771786620219544,0.5990167923337477,0.1133133023443953,0.0751423442794509,0.03817095806494439,80.5557158432521,0.17064946306577614,80.4758135112251,83.0619206100414,92.89099884033203,2679.25
2017-12-21,0.477851003408432,0.477851003408432,0.4565269947052002,0.5236189961433411,0.4900490045547485,162926000.0,0.28171866635481513,0.1369387208982262,0.3330603765877314,69.31574118541772,-0.06740233033999304,0.28171866635481513,0.6308396630496234,0.11557781992866514,0.08322943940929375,0.03234838051937139,79.03912027735672,0.17456049834740409,68.03575175792749,77.49379550677673,92.86199951171875,2684.570068359375
