,Date,adj_close,close,low,high,open,volume
1361,2021-01-29,1.4758729934692385,1.4758729934692385,1.447293996810913,1.6957039833068848,1.4727100133895874,151889653.0
1362,2021-01-30,1.433493971824646,1.433493971824646,1.4001250267028809,1.574038028717041,1.4736449718475342,74765787.0
1363,2021-01-31,1.461069941520691,1.461069941520691,1.369338035583496,1.531013011932373,1.4335789680480957,87289395.0
1364,2021-02-01,1.792354941368103,1.792354941368103,1.4176839590072632,1.8952280282974243,1.459020972251892,183865495.0
1365,2021-02-02,2.340502977371216,2.340502977371216,1.7964849472045898,2.340502977371216,1.7964849472045898,253258931.0
1366,2021-02-03,2.104048013687134,2.104048013687134,2.013427972793579,2.490362882614136,2.347537040710449,244705526.0
1367,2021-02-04,2.6437230110168457,2.6437230110168457,1.975754976272583,2.846560001373291,2.105634927749634,313114758.0
1368,2021-02-05,2.8702940940856934,2.8702940940856934,2.656709909439087,3.0117790699005127,2.656709909439087,169253224.0
1369,2021-02-06,2.6846048831939697,2.6846048831939697,2.6336441040039062,2.9637320041656494,2.8678879737854004,116055040.0
1370,2021-02-07,3.046436071395874,3.046436071395874,2.4844210147857666,3.1372599601745605,2.677978992462158,204601208.0
1371,2021-02-08,5.785560131072998,5.785560131072998,3.0651841163635254,6.083691120147705,3.0651841163635254,925338670.0
1372,2021-02-09,6.437321186065674,6.437321186065674,4.843443870544434,7.355402946472168,5.751344203948975,1153234845.0
1373,2021-02-10,6.119060039520264,6.119060039520264,5.784060955047607,6.95621395111084,6.428525924682617,459775045.0
1374,2021-02-11,5.484724998474121,5.484724998474121,5.484724998474121,6.4885969161987305,6.091032028198242,301285570.0
1375,2021-02-12,5.725766181945801,5.725766181945801,5.408516883850098,6.13085412979126,5.471158027648926,354103437.0
1376,2021-02-13,5.585742950439453,5.585742950439453,5.39349889755249,5.977169036865234,5.71812105178833,189307924.0
1377,2021-02-14,5.651176929473877,5.651176929473877,5.35762882232666,6.147490978240967,5.581394195556641,234014904.0
1378,2021-02-15,5.453699111938477,5.453699111938477,4.972561836242676,5.853822231292725,5.63520622253418,261353724.0
1379,2021-02-16,6.512374877929688,6.512374877929688,5.304282188415527,6.708621025085449,5.447319984436035,459996383.0
1380,2021-02-17,7.303834915161133,7.303834915161133,5.832053184509277,7.442309856414795,6.524129867553711,578430821.0
1381,2021-02-18,6.707302093505859,6.707302093505859,6.462904930114746,7.519991874694824,7.292970180511475,267006322.0
1382,2021-02-19,6.31606388092041,6.31606388092041,6.200100898742676,6.884507179260254,6.695794105529785,204897846.0
1383,2021-02-20,5.96434497833252,5.96434497833252,5.733764171600342,6.738595008850098,6.313124179840088,195368387.0
1384,2021-02-21,6.124401092529297,6.124401092529297,5.812676906585693,6.360025882720947,5.954761981964111,156476811.0
1385,2021-02-22,7.065779209136963,7.065779209136963,5.965199947357178,8.406708717346191,6.12481689453125,731036801.0
1386,2021-02-23,6.712749004364014,6.712749004364014,5.570102214813232,7.114671230316162,7.064021110534668,578884178.0
1387,2021-02-24,6.6897292137146,6.6897292137146,6.417242050170898,7.662580013275146,6.725886821746826,347070519.0
1388,2021-02-25,5.963476181030273,5.963476181030273,5.963476181030273,7.20855188369751,6.6824212074279785,247342950.0
1389,2021-02-26,5.895827770233154,5.895827770233154,5.585925102233887,6.403532028198242,5.987648010253906,185889740.0
1390,2021-02-27,5.919003009796143,5.919003009796143,5.7715911865234375,6.367059230804443,5.900442123413086,133102816.0
1391,2021-02-28,5.349640846252441,5.349640846252441,4.996100902557373,6.016913890838623,5.921469211578369,164424751.0
1392,2021-03-01,6.7510528564453125,6.7510528564453125,5.353888988494873,6.7682647705078125,5.361632823944092,284275053.0
1393,2021-03-02,6.457234859466553,6.457234859466553,6.23261022567749,6.780755996704102,6.750741004943848,186109178.0
1394,2021-03-03,7.224770069122314,7.224770069122314,6.439836025238037,8.203225135803223,6.472055912017822,459813956.0
1395,2021-03-04,7.4984450340271,7.4984450340271,7.113170146942139,8.13410758972168,7.213906764984131,418936174.0
1396,2021-03-05,8.488712310791016,8.488712310791016,6.996792793273926,8.764043807983398,7.474929809570312,539816082.0
1397,2021-03-06,8.23739242553711,8.23739242553711,8.105055809020996,8.935028076171875,8.478124618530273,335788160.0
1398,2021-03-07,8.271160125732422,8.271160125732422,7.789121150970459,8.302706718444824,8.248052597045898,187859367.0
1399,2021-03-08,9.639249801635742,9.639249801635742,8.104065895080566,9.772783279418944,8.254155158996582,423561756.0
1400,2021-03-09,11.71257209777832,11.71257209777832,9.60797882080078,12.062219619750977,9.669755935668944,842804932.0
1401,2021-03-10,11.147438049316406,11.147438049316406,10.899006843566896,11.745773315429688,11.666213989257812,392489796.0
1402,2021-03-11,10.815983772277832,10.815983772277832,10.425655364990234,11.371081352233888,11.123948097229004,353032857.0
1403,2021-03-12,14.162925720214844,14.162925720214844,10.597125053405762,14.344088554382324,10.817126274108888,778270134.0
1404,2021-03-13,14.586310386657717,14.586310386657717,12.7169828414917,14.815661430358888,14.158122062683104,458413473.0
1405,2021-03-14,15.874853134155272,15.874853134155272,13.886953353881836,16.680822372436523,14.594352722167969,787898017.0
1406,2021-03-15,16.339868545532227,16.339868545532227,14.630610466003418,16.675878524780273,15.8423490524292,648714358.0
1407,2021-03-16,19.88077735900879,19.88077735900879,16.132997512817383,20.73755645751953,16.33368492126465,1453287134.0
1408,2021-03-17,18.587238311767575,18.587238311767575,17.229843139648438,19.90597915649414,19.90597915649414,1043820400.0
1409,2021-03-18,19.00502014160156,19.00502014160156,17.726421356201172,19.25428009033203,18.52747917175293,560830319.0
1410,2021-03-19,20.011985778808597,20.011985778808597,18.608949661254883,21.883413314819336,18.976917266845703,834679597.0
1411,2021-03-20,20.89200210571289,20.89200210571289,19.73490333557129,21.39952278137207,19.948143005371094,399899063.0
1412,2021-03-21,21.982669830322266,21.982669830322266,20.839693069458008,22.32999420166016,20.895307540893555,590731035.0
1413,2021-03-22,19.43491744995117,19.43491744995117,19.24275016784668,22.041757583618164,21.97239875793457,513268520.0
1414,2021-03-23,17.052082061767578,17.052082061767578,16.777584075927734,19.804128646850582,19.420398712158203,534066504.0
1415,2021-03-24,16.686748504638672,16.686748504638672,15.949358940124512,18.780670166015625,17.026884078979492,839262903.0
1416,2021-03-25,16.45265007019043,16.45265007019043,16.056888580322266,17.215229034423828,16.63763427734375,466380561.0
1417,2021-03-26,18.528396606445312,18.528396606445312,16.448381423950195,18.997766494750977,16.458988189697266,470743750.0
1418,2021-03-27,18.748029708862305,18.748029708862305,18.07106590270996,19.24432182312012,18.46480941772461,269291397.0
1419,2021-03-28,18.587406158447266,18.587406158447266,18.0931339263916,19.274248123168945,18.717605590820312,218275563.0
1420,2021-03-29,18.89993095397949,18.89993095397949,18.24579429626465,19.49723625183105,18.573715209960938,265177895.0
1421,2021-03-30,18.669038772583008,18.669038772583008,18.236909866333008,19.212120056152344,18.895566940307617,274912189.0
1422,2021-03-31,18.70057487487793,18.70057487487793,18.05398941040039,19.554237365722656,18.672082901000977,502783251.0
1423,2021-04-01,18.51649475097656,18.51649475097656,18.144798278808597,19.14543914794922,18.70176315307617,329541119.0
1424,2021-04-02,18.56660461425781,18.56660461425781,18.429723739624023,19.18746566772461,18.501115798950195,288164247.0
1425,2021-04-03,18.14192771911621,18.14192771911621,18.106481552124023,18.888839721679688,18.56641387939453,188820041.0
1426,2021-04-04,18.34749794006348,18.34749794006348,18.05367088317871,18.71654319763184,18.14306640625,155778458.0
1427,2021-04-05,17.560474395751953,17.560474395751953,17.242555618286133,18.621204376220703,18.34684562683105,206881663.0
1428,2021-04-06,16.733224868774414,16.733224868774414,16.48267364501953,17.586339950561523,17.55473518371582,303371100.0
1429,2021-04-07,15.46347427368164,15.46347427368164,14.831002235412598,16.784082412719727,16.737815856933594,354205172.0
1430,2021-04-08,15.745903968811035,15.745903968811035,15.231682777404783,16.108074188232422,15.46009922027588,222250435.0
1431,2021-04-09,15.67758560180664,15.67758560180664,15.548465728759766,17.002973556518555,15.752419471740724,317140139.0
1432,2021-04-10,15.51254653930664,15.51254653930664,14.773052215576172,15.96067714691162,15.675190925598145,232354891.0
1433,2021-04-11,15.141955375671388,15.141955375671388,14.999098777770996,15.556640625,15.491979598999023,152454579.0
1434,2021-04-12,14.63973903656006,14.63973903656006,14.268131256103516,15.212198257446287,15.13877773284912,216880907.0
1435,2021-04-13,15.61818504333496,15.61818504333496,14.62190055847168,16.894912719726562,14.62190055847168,406280600.0
1436,2021-04-14,15.302223205566406,15.302223205566406,15.114412307739258,16.456344604492188,15.60285472869873,339999781.0
1437,2021-04-15,16.886905670166016,16.886905670166016,15.02727222442627,17.45665168762207,15.293569564819336,352758619.0
1438,2021-04-16,15.79843807220459,15.79843807220459,15.559619903564451,17.017162322998047,16.875179290771484,365616994.0
1439,2021-04-17,15.339083671569824,15.339083671569824,15.226458549499512,16.261722564697266,15.78393268585205,279724698.0
1440,2021-04-18,13.398308753967283,13.398308753967283,11.872363090515137,15.402425765991213,15.356892585754396,538091342.0
