,Date,Cryptocurrency,adj_close,close,high,low,open,volume
125,2017-08-29,ADA-USD,,,,,,
126,2017-08-30,ADA-USD,,,,,,
127,2017-08-31,ADA-USD,,,,,,
128,2017-09-01,ADA-USD,,,,,,
129,2017-09-02,ADA-USD,,,,,,
130,2017-09-03,ADA-USD,,,,,,
131,2017-09-04,ADA-USD,,,,,,
132,2017-09-05,ADA-USD,,,,,,
133,2017-09-06,ADA-USD,,,,,,
134,2017-09-07,ADA-USD,,,,,,
135,2017-09-08,ADA-USD,,,,,,
136,2017-09-09,ADA-USD,,,,,,
137,2017-09-10,ADA-USD,,,,,,
138,2017-09-11,ADA-USD,,,,,,
139,2017-09-12,ADA-USD,,,,,,
140,2017-09-13,ADA-USD,,,,,,
141,2017-09-14,ADA-USD,,,,,,
142,2017-09-15,ADA-USD,,,,,,
143,2017-09-16,ADA-USD,,,,,,
144,2017-09-17,ADA-USD,,,,,,
145,2017-09-18,ADA-USD,,,,,,
146,2017-09-19,ADA-USD,,,,,,
147,2017-09-20,ADA-USD,,,,,,
148,2017-09-21,ADA-USD,,,,,,
149,2017-09-22,ADA-USD,,,,,,
150,2017-09-23,ADA-USD,,,,,,
151,2017-09-24,ADA-USD,,,,,,
152,2017-09-25,ADA-USD,,,,,,
153,2017-09-26,ADA-USD,,,,,,
154,2017-09-27,ADA-USD,,,,,,
155,2017-09-28,ADA-USD,,,,,,
156,2017-09-29,ADA-USD,,,,,,
157,2017-09-30,ADA-USD,,,,,,
158,2017-10-01,ADA-USD,,,,,,
159,2017-10-02,ADA-USD,,,,,,
160,2017-10-03,ADA-USD,,,,,,
161,2017-10-04,ADA-USD,,,,,,
162,2017-10-05,ADA-USD,,,,,,
163,2017-10-06,ADA-USD,,,,,,
164,2017-10-07,ADA-USD,,,,,,
165,2017-10-08,ADA-USD,,,,,,
166,2017-10-09,ADA-USD,,,,,,
167,2017-10-10,ADA-USD,,,,,,
168,2017-10-11,ADA-USD,,,,,,
169,2017-10-12,ADA-USD,,,,,,
170,2017-10-13,ADA-USD,,,,,,
171,2017-10-14,ADA-USD,,,,,,
172,2017-10-15,ADA-USD,,,,,,
173,2017-10-16,ADA-USD,,,,,,
174,2017-10-17,ADA-USD,,,,,,
175,2017-10-18,ADA-USD,,,,,,
176,2017-10-19,ADA-USD,,,,,,
177,2017-10-20,ADA-USD,,,,,,
178,2017-10-21,ADA-USD,,,,,,
179,2017-10-22,ADA-USD,,,,,,
180,2017-10-23,ADA-USD,,,,,,
181,2017-10-24,ADA-USD,,,,,,
182,2017-10-25,ADA-USD,,,,,,
183,2017-10-26,ADA-USD,,,,,,
184,2017-10-27,ADA-USD,,,,,,
185,2017-10-28,ADA-USD,,,,,,
186,2017-10-29,ADA-USD,,,,,,
187,2017-10-30,ADA-USD,,,,,,
188,2017-10-31,ADA-USD,,,,,,
189,2017-11-01,ADA-USD,,,,,,
190,2017-11-02,ADA-USD,,,,,,
191,2017-11-03,ADA-USD,,,,,,
192,2017-11-04,ADA-USD,,,,,,
193,2017-11-05,ADA-USD,,,,,,
194,2017-11-06,ADA-USD,,,,,,
195,2017-11-07,ADA-USD,,,,,,
196,2017-11-08,ADA-USD,,,,,,
197,2017-11-09,ADA-USD,0.0320530012249946,18716200.0,18716200.0,18716200.0,18716200.0,18716200.0
198,2017-11-10,ADA-USD,0.0271189995110034,6766780.0,6766780.0,6766780.0,6766780.0,6766780.0
199,2017-11-11,ADA-USD,0.0274369996041059,5532220.0,5532220.0,5532220.0,5532220.0,5532220.0
200,2017-11-12,ADA-USD,0.0239770002663135,7280250.0,7280250.0,7280250.0,7280250.0,7280250.0
201,2017-11-13,ADA-USD,0.025807999074459,4419440.0,4419440.0,4419440.0,4419440.0,4419440.0
202,2017-11-14,ADA-USD,0.0262299999594688,3033290.0,3033290.0,3033290.0,3033290.0,3033290.0
203,2017-11-15,ADA-USD,0.0264449995011091,6858800.0,6858800.0,6858800.0,6858800.0,6858800.0
204,2017-11-16,ADA-USD,0.0275800004601478,4888130.0,4888130.0,4888130.0,4888130.0,4888130.0
205,2017-11-17,ADA-USD,0.025772999972105,3578870.0,3578870.0,3578870.0,3578870.0,3578870.0
206,2017-11-18,ADA-USD,0.0263689998537302,2930550.0,2930550.0,2930550.0,2930550.0,2930550.0
207,2017-11-19,ADA-USD,0.0280840005725622,4725050.0,4725050.0,4725050.0,4725050.0,4725050.0
208,2017-11-20,ADA-USD,0.0295809991657733,16172400.0,16172400.0,16172400.0,16172400.0,16172400.0
209,2017-11-21,ADA-USD,0.0283300001174211,5836790.0,5836790.0,5836790.0,5836790.0,5836790.0
210,2017-11-22,ADA-USD,0.0285490006208419,4938480.0,4938480.0,4938480.0,4938480.0,4938480.0
211,2017-11-23,ADA-USD,0.0274439994245767,5132300.0,5132300.0,5132300.0,5132300.0,5132300.0
212,2017-11-24,ADA-USD,0.0283819995820522,5502350.0,5502350.0,5502350.0,5502350.0,5502350.0
213,2017-11-25,ADA-USD,0.0304470006376504,6156460.0,6156460.0,6156460.0,6156460.0,6156460.0
214,2017-11-26,ADA-USD,0.0363320000469684,30527100.0,30527100.0,30527100.0,30527100.0,30527100.0
215,2017-11-27,ADA-USD,0.0505929999053478,77777296.0,77777296.0,77777296.0,77777296.0,77777296.0
216,2017-11-28,ADA-USD,0.1197440028190612,240338000.0,240338000.0,240338000.0,240338000.0,240338000.0
217,2017-11-29,ADA-USD,0.0897179991006851,210624992.0,210624992.0,210624992.0,210624992.0,210624992.0
218,2017-11-30,ADA-USD,0.1198830008506774,124345000.0,124345000.0,124345000.0,124345000.0,124345000.0
219,2017-12-01,ADA-USD,0.1313520073890686,73657600.0,73657600.0,73657600.0,73657600.0,73657600.0
220,2017-12-02,ADA-USD,0.1323509961366653,56712600.0,56712600.0,56712600.0,56712600.0,56712600.0
221,2017-12-03,ADA-USD,0.1318069994449615,46458900.0,46458900.0,46458900.0,46458900.0,46458900.0
222,2017-12-04,ADA-USD,0.1358699947595596,76392704.0,76392704.0,76392704.0,76392704.0,76392704.0
223,2017-12-05,ADA-USD,0.1274880021810531,50381100.0,50381100.0,50381100.0,50381100.0,50381100.0
224,2017-12-06,ADA-USD,0.1178390011191368,75688800.0,75688800.0,75688800.0,75688800.0,75688800.0
225,2017-12-07,ADA-USD,0.105501003563404,71024600.0,71024600.0,71024600.0,71024600.0,71024600.0
226,2017-12-08,ADA-USD,0.1154650002717971,70092400.0,70092400.0,70092400.0,70092400.0,70092400.0
227,2017-12-09,ADA-USD,0.119608998298645,63308600.0,63308600.0,63308600.0,63308600.0,63308600.0
228,2017-12-10,ADA-USD,0.1102809980511665,46376600.0,46376600.0,46376600.0,46376600.0,46376600.0
229,2017-12-11,ADA-USD,0.1213829964399337,39513900.0,39513900.0,39513900.0,39513900.0,39513900.0
230,2017-12-12,ADA-USD,0.1338910013437271,60056800.0,60056800.0,60056800.0,60056800.0,60056800.0
231,2017-12-13,ADA-USD,0.1342809945344925,61575000.0,61575000.0,61575000.0,61575000.0,61575000.0
232,2017-12-14,ADA-USD,0.2407529950141906,309307008.0,309307008.0,309307008.0,309307008.0,309307008.0
233,2017-12-15,ADA-USD,0.213467001914978,207311008.0,207311008.0,207311008.0,207311008.0,207311008.0
234,2017-12-16,ADA-USD,0.4046649932861328,581052032.0,581052032.0,581052032.0,581052032.0,581052032.0
235,2017-12-17,ADA-USD,0.5130109786987305,628142976.0,628142976.0,628142976.0,628142976.0,628142976.0
236,2017-12-18,ADA-USD,0.5181980133056641,253463008.0,253463008.0,253463008.0,253463008.0,253463008.0
237,2017-12-19,ADA-USD,0.5312730073928833,279631008.0,279631008.0,279631008.0,279631008.0,279631008.0
238,2017-12-20,ADA-USD,0.4861510097980499,182924000.0,182924000.0,182924000.0,182924000.0,182924000.0
239,2017-12-21,ADA-USD,0.477851003408432,162926000.0,162926000.0,162926000.0,162926000.0,162926000.0
240,2017-12-22,ADA-USD,0.407150000333786,150972992.0,150972992.0,150972992.0,150972992.0,150972992.0
241,2017-12-23,ADA-USD,0.4140270054340362,88865000.0,88865000.0,88865000.0,88865000.0,88865000.0
242,2017-12-24,ADA-USD,0.3900290131568908,67372304.0,67372304.0,67372304.0,67372304.0,67372304.0
243,2017-12-25,ADA-USD,0.416363000869751,122194000.0,122194000.0,122194000.0,122194000.0,122194000.0
244,2017-12-26,ADA-USD,0.4284650087356567,94896000.0,94896000.0,94896000.0,94896000.0,94896000.0
245,2017-12-27,ADA-USD,0.4141759872436523,82067504.0,82067504.0,82067504.0,82067504.0,82067504.0
246,2017-12-28,ADA-USD,0.4077009856700897,82263800.0,82263800.0,82263800.0,82263800.0,82263800.0
247,2017-12-29,ADA-USD,0.5292990207672119,266403008.0,266403008.0,266403008.0,266403008.0,266403008.0
248,2017-12-30,ADA-USD,0.6392430067062378,645155968.0,645155968.0,645155968.0,645155968.0,645155968.0
249,2017-12-31,ADA-USD,0.719694972038269,305947008.0,305947008.0,305947008.0,305947008.0,305947008.0
250,2018-01-01,ADA-USD,0.7286570072174072,150186000.0,150186000.0,150186000.0,150186000.0,150186000.0
251,2018-01-02,ADA-USD,0.7825869917869568,289712000.0,289712000.0,289712000.0,289712000.0,289712000.0
252,2018-01-03,ADA-USD,1.0796600580215454,657398016.0,657398016.0,657398016.0,657398016.0,657398016.0
253,2018-01-04,ADA-USD,1.1141200065612793,593430016.0,593430016.0,593430016.0,593430016.0,593430016.0
254,2018-01-05,ADA-USD,0.9995589852333068,508100000.0,508100000.0,508100000.0,508100000.0,508100000.0
255,2018-01-06,ADA-USD,1.02715003490448,297615008.0,297615008.0,297615008.0,297615008.0,297615008.0
256,2018-01-07,ADA-USD,1.008520007133484,226067008.0,226067008.0,226067008.0,226067008.0,226067008.0
257,2018-01-08,ADA-USD,0.8990020155906677,264460992.0,264460992.0,264460992.0,264460992.0,264460992.0
258,2018-01-09,ADA-USD,0.8147429823875427,209492000.0,209492000.0,209492000.0,209492000.0,209492000.0
259,2018-01-10,ADA-USD,0.7931209802627563,236472000.0,236472000.0,236472000.0,236472000.0,236472000.0
260,2018-01-11,ADA-USD,0.6884120106697083,229000992.0,229000992.0,229000992.0,229000992.0,229000992.0
261,2018-01-12,ADA-USD,0.8975080251693726,365795008.0,365795008.0,365795008.0,365795008.0,365795008.0
262,2018-01-13,ADA-USD,0.8841239809989929,313215008.0,313215008.0,313215008.0,313215008.0,313215008.0
263,2018-01-14,ADA-USD,0.802262008190155,160712000.0,160712000.0,160712000.0,160712000.0,160712000.0
