Date,Unnamed: 0,adj_close,close,low,high,open,volume,SMA30,CMA30,EMA30,adx,bb_low,bb_ma,bb_high,macd,macdsignal,macdhist,rsi,stdev,slowk,slowd,dollar_close,sp500_close
2017-12-18,236,0.5181980133056641,0.5181980133056641,0.4674029946327209,0.5264959931373596,0.5119389891624451,253463008.0,0.13747663261989748,0.10982724945060904,0.16795234707773948,70.80900732903692,-0.11570873907203988,0.13747663261989745,0.3906620043118348,0.09489407021736779,0.055017088604615676,0.03987698161275211,85.8080701890975,0.12659268584596867,84.74012706772147,85.60852892896831,93.5199966430664,2690.159912109375
2017-12-19,237,0.5312730073928833,0.5312730073928833,0.5010830163955688,0.58958899974823,0.5202680230140686,279631008.0,0.1542495995139082,0.1201064142784694,0.1913923896787165,71.78307912888411,-0.1322092649154448,0.15424959951390818,0.44070846394326113,0.10792966939761128,0.0655996047632148,0.04233006463439648,86.11817831893049,0.1432294322146765,83.96982125117752,83.97905176667648,93.0270004272461,2681.469970703125
2017-12-20,238,0.4861510097980499,0.4861510097980499,0.4416210055351257,0.5337049961090088,0.5337049961090088,182924000.0,0.16946859986831742,0.12882176179084034,0.21040907484770574,71.74867133548443,-0.13671388486007077,0.1694685998683174,0.4756510845967056,0.1133133023443953,0.0751423442794509,0.03817095806494439,79.88636505014604,0.15309124236419408,80.4758135112251,83.0619206100414,92.89099884033203,2679.25
2017-12-21,239,0.477851003408432,0.477851003408432,0.4565269947052002,0.5236189961433411,0.4900490045547485,162926000.0,0.18445263331135112,0.1369387208982262,0.22766339281936548,71.71598393175474,-0.13628647549521938,0.1844526333113511,0.5051917421179215,0.11557781992866514,0.08322943940929375,0.03234838051937139,78.80127395061794,0.16036955440328524,68.03575175792749,77.49379550677673,92.86199951171875,2684.570068359375
2017-12-22,240,0.407150000333786,0.407150000333786,0.2936410009860992,0.4789740145206451,0.4789740145206451,150972992.0,0.1970726666351159,0.14307988633994348,0.2392431739493281,69.67961298610157,-0.12790159629352235,0.19707266663511588,0.5220469295637541,0.11039492240692567,0.08866253600882014,0.021732386398105527,70.37765456416946,0.16248713146431912,52.51485754327225,67.00880760414165,92.92400360107422,2683.340087890625
2017-12-26,244,0.4284650087356567,0.4284650087356567,0.4056079983711242,0.4300859868526459,0.4135729968547821,94896000.0,0.24794863425195215,0.16550831306570515,0.27988588941898324,61.50240396665178,-0.07650187916421217,0.2479486342519521,0.5723991476681164,0.09081940657962928,0.09303828586186794,-0.002218879282238656,69.94014868702371,0.16222525670808213,55.42011818140943,46.62614921841975,92.8010025024414,2680.5
2017-12-27,245,0.4141759872436523,0.4141759872436523,0.4010980129241943,0.4308269917964935,0.4271070063114166,82067504.0,0.26006806716322894,0.17058316355913267,0.28854976669799415,59.62216340014352,-0.06113527119045681,0.26006806716322894,0.5812714055169147,0.08585998134462619,0.09160262495841959,-0.005742643613793397,68.37015223550668,0.16060166917684288,63.69446496838989,54.61503394060761,92.61199951171875,2682.6201171875
2017-12-28,246,0.4077009856700897,0.4077009856700897,0.3678869903087616,0.4189339876174927,0.4120199978351593,82263800.0,0.26966663325826323,0.1753255200013518,0.2962369421155487,57.49594435876704,-0.05139982834161738,0.26966663325826323,0.5907330948581438,0.08047940610512727,0.08937798118776112,-0.00889857508263385,67.65819619301615,0.1605332307999403,67.72915519808133,62.28124611596024,92.30000305175781,2687.5400390625
2017-12-29,247,0.5292990207672119,0.5292990207672119,0.4039449989795685,0.5568789839744568,0.4104569852352142,266403008.0,0.28431933398048076,0.18226617687911376,0.3112732052543657,56.27820074505926,-0.042628972287606204,0.28431933398048076,0.6112676402485677,0.08504683963058807,0.08851175287632651,-0.0034649132457384435,73.10006220864418,0.16347415313404348,72.07645669644478,67.83335895430535,91.82599639892578,2673.610107421875
2018-01-02,251,0.7825869917869568,0.7825869917869568,0.6978560090065002,0.7946460247039795,0.7246760129928589,289712000.0,0.362812299778064,0.2211955817924304,0.4072532588989136,55.22806201989761,-0.05051828295920896,0.362812299778064,0.7761428825153369,0.13249759671928102,0.1061954786571028,0.02630211806217822,80.4464816436115,0.20666529136863648,90.3086856170605,83.24116575741904,91.572998046875,2695.81005859375
